Elapsed Time,R_PhaseCurrent,Y_PhaseCurrent,B_PhaseCurrent,Label
0,0.36,0.34,0.38,NORMAL
5,0.36,0.34,0.38,NORMAL
10,0.36,0.34,0.38,NORMAL
15,0.36,0.34,0.38,NORMAL
20,0.36,0.34,0.38,NORMAL
25,0.36,0.34,0.38,NORMAL
30,0.36,0.34,0.38,NORMAL
35,0.36,0.34,0.38,NORMAL
40,0.36,0.34,0.38,NORMAL
45,0.36,0.34,0.38,NORMAL
50,0.36,0.34,0.38,NORMAL
55,0.36,0.34,0.38,NORMAL
60,0.36,0.35,0.38,NORMAL
65,0.36,0.35,0.38,NORMAL
70,0.36,0.35,0.38,NORMAL
75,0.36,0.34,0.37,NORMAL
80,0.36,0.34,0.37,NORMAL
85,0.36,0.34,0.37,NORMAL
90,0.36,0.34,0.37,NORMAL
95,0.36,0.34,0.37,NORMAL
100,0.36,0.34,0.37,NORMAL
105,0.36,0.34,0.37,NORMAL
110,0.36,0.34,0.37,NORMAL
115,0.36,0.34,0.37,NORMAL
120,0.36,0.34,0.37,NORMAL
125,0.36,0.34,0.37,NORMAL
130,0.36,0.34,0.38,NORMAL
135,0.36,0.34,0.38,NORMAL
140,0.36,0.34,0.38,NORMAL
145,0.36,0.34,0.38,NORMAL
150,0.36,0.34,0.38,NORMAL
155,0.36,0.34,0.38,NORMAL
160,0.36,0.34,0.38,NORMAL
165,0.36,0.34,0.38,NORMAL
170,0.36,0.34,0.38,NORMAL
175,0.36,0.34,0.38,NORMAL
180,0.36,0.34,0.38,NORMAL
185,0.36,0.34,0.38,NORMAL
190,0.36,0.34,0.38,NORMAL
195,0.36,0.34,0.38,NORMAL
200,0.36,0.34,0.38,NORMAL
205,0.36,0.34,0.38,NORMAL
210,0.36,0.34,0.38,NORMAL
215,0.36,0.34,0.38,NORMAL
220,0.36,0.34,0.38,NORMAL
225,0.36,0.34,0.38,NORMAL
230,0.36,0.34,0.38,NORMAL
235,0.36,0.34,0.38,NORMAL
240,0.36,0.34,0.38,NORMAL
245,0.36,0.34,0.38,NORMAL
250,0.36,0.34,0.38,NORMAL
255,0.36,0.34,0.38,NORMAL
260,0.36,0.34,0.38,NORMAL
265,0.36,0.34,0.38,NORMAL
270,0.36,0.34,0.38,NORMAL
275,0.36,0.34,0.38,NORMAL
280,0.36,0.34,0.38,NORMAL
285,0.36,0.34,0.38,NORMAL
290,0.36,0.34,0.38,NORMAL
295,0.36,0.34,0.38,NORMAL
300,0.36,0.34,0.38,NORMAL
305,0.36,0.34,0.38,NORMAL
310,0.36,0.34,0.38,NORMAL
315,0.36,0.34,0.38,NORMAL
320,0.36,0.34,0.38,NORMAL
325,0.36,0.34,0.38,NORMAL
330,0.36,0.34,0.38,NORMAL
335,0.36,0.34,0.38,NORMAL
340,0.36,0.34,0.38,NORMAL
345,0.36,0.34,0.38,NORMAL
350,0.36,0.34,0.38,NORMAL
355,0.36,0.34,0.38,NORMAL
360,0.36,0.34,0.38,NORMAL
365,0.36,0.34,0.38,NORMAL
370,0.36,0.34,0.38,NORMAL
375,0.36,0.34,0.38,NORMAL
380,0.36,0.34,0.38,NORMAL
385,0.36,0.34,0.38,NORMAL
390,0.36,0.34,0.38,NORMAL
395,0.36,0.34,0.38,NORMAL
400,0.36,0.34,0.38,NORMAL
405,0.36,0.34,0.38,NORMAL
410,0.36,0.34,0.38,NORMAL
415,0.36,0.34,0.38,NORMAL
420,0.36,0.34,0.38,NORMAL
425,0.36,0.34,0.38,NORMAL
430,0.36,0.34,0.38,NORMAL
435,0.36,0.34,0.38,NORMAL
440,0.36,0.34,0.38,NORMAL
445,0.36,0.34,0.38,NORMAL
450,0.36,0.34,0.38,NORMAL
455,0.36,0.34,0.38,NORMAL
460,0.36,0.34,0.38,NORMAL
465,0.36,0.34,0.38,NORMAL
470,0.36,0.34,0.38,NORMAL
475,0.36,0.34,0.38,NORMAL
480,0.36,0.34,0.38,NORMAL
485,0.36,0.34,0.38,NORMAL
490,0.36,0.34,0.38,NORMAL
495,0.36,0.34,0.38,NORMAL
500,0.36,0.34,0.38,NORMAL
505,0.36,0.34,0.38,NORMAL
510,0.36,0.34,0.38,NORMAL
515,0.36,0.34,0.38,NORMAL
520,0.36,0.34,0.38,NORMAL
525,0.36,0.34,0.38,NORMAL
530,0.36,0.34,0.38,NORMAL
535,0.36,0.34,0.38,NORMAL
540,0.36,0.34,0.38,NORMAL
545,0.36,0.34,0.38,NORMAL
550,0.36,0.34,0.38,NORMAL
555,0.36,0.34,0.38,NORMAL
560,0.36,0.34,0.38,NORMAL
565,0.36,0.34,0.38,NORMAL
570,0.36,0.34,0.38,NORMAL
575,0.36,0.34,0.38,NORMAL
580,0.36,0.34,0.38,NORMAL
585,0.36,0.34,0.38,NORMAL
590,0.36,0.34,0.38,NORMAL
595,0.36,0.34,0.38,NORMAL
600,0.36,0.34,0.38,NORMAL
605,0.36,0.34,0.38,NORMAL
610,0.36,0.34,0.38,NORMAL
615,0.36,0.34,0.38,NORMAL
620,0.36,0.34,0.38,NORMAL
625,0.36,0.34,0.38,NORMAL
630,0.36,0.34,0.38,NORMAL
635,0.36,0.34,0.38,NORMAL
640,0.36,0.34,0.38,NORMAL
645,0.36,0.34,0.38,NORMAL
650,0.36,0.34,0.38,NORMAL
655,0.36,0.34,0.38,NORMAL
660,0.36,0.34,0.38,NORMAL
665,0.36,0.34,0.38,NORMAL
670,0.36,0.34,0.38,NORMAL
675,0.36,0.34,0.38,NORMAL
680,0.36,0.34,0.38,NORMAL
685,0.36,0.34,0.38,NORMAL
690,0.36,0.34,0.38,NORMAL
695,0.36,0.34,0.38,NORMAL
700,0.36,0.34,0.38,NORMAL
705,0.36,0.34,0.38,NORMAL
710,0.36,0.34,0.38,NORMAL
715,0.36,0.34,0.38,NORMAL
720,0.36,0.34,0.38,NORMAL
725,0.36,0.34,0.38,NORMAL
730,0.36,0.34,0.38,NORMAL
735,0.36,0.34,0.38,NORMAL
740,0.36,0.34,0.38,NORMAL
745,0.36,0.34,0.38,NORMAL
750,0.36,0.34,0.38,NORMAL
755,0.36,0.34,0.38,NORMAL
760,0.36,0.34,0.38,NORMAL
765,0.36,0.34,0.38,NORMAL
770,0.36,0.34,0.38,NORMAL
775,0.36,0.34,0.38,NORMAL
780,0.36,0.34,0.38,NORMAL
785,0.36,0.34,0.38,NORMAL
790,0.36,0.34,0.38,NORMAL
795,0.36,0.34,0.38,NORMAL
800,0.36,0.34,0.38,NORMAL
805,0.36,0.34,0.38,NORMAL
810,0.36,0.34,0.38,NORMAL
815,0.36,0.34,0.38,NORMAL
820,0.36,0.34,0.38,NORMAL
825,0.36,0.34,0.38,NORMAL
830,0.36,0.34,0.38,NORMAL
835,0.36,0.34,0.38,NORMAL
840,0.36,0.34,0.38,NORMAL
845,0.36,0.34,0.38,NORMAL
850,0.36,0.34,0.38,NORMAL
855,0.36,0.34,0.38,NORMAL
860,0.36,0.34,0.38,NORMAL
865,0.36,0.34,0.38,NORMAL
870,0.36,0.34,0.38,NORMAL
875,0.36,0.34,0.38,NORMAL
880,0.36,0.34,0.38,NORMAL
885,0.36,0.34,0.38,NORMAL
890,0.36,0.34,0.38,NORMAL
895,0.36,0.34,0.38,NORMAL
900,0.36,0.34,0.38,NORMAL
905,0.36,0.34,0.38,NORMAL
910,0.36,0.34,0.38,NORMAL
915,0.36,0.34,0.38,NORMAL
920,0.36,0.34,0.38,NORMAL
925,0.36,0.34,0.38,NORMAL
930,0.36,0.34,0.38,NORMAL
935,0.36,0.34,0.38,NORMAL
940,0.36,0.34,0.38,NORMAL
945,0.36,0.34,0.38,NORMAL
950,0.36,0.34,0.38,NORMAL
955,0.36,0.34,0.38,NORMAL
960,0.36,0.34,0.38,NORMAL
965,0.36,0.34,0.38,NORMAL
970,0.36,0.34,0.38,NORMAL
975,0.36,0.34,0.38,NORMAL
980,0.36,0.34,0.38,NORMAL
985,0.36,0.34,0.38,NORMAL
990,0.36,0.34,0.38,NORMAL
995,0.36,0.34,0.38,NORMAL
1000,0.36,0.34,0.38,NORMAL
1005,0.36,0.34,0.38,NORMAL
1010,0.36,0.34,0.38,NORMAL
1015,0.36,0.34,0.38,NORMAL
1020,0.36,0.34,0.38,NORMAL
1025,0.36,0.34,0.38,NORMAL
1030,0.36,0.34,0.38,NORMAL
1035,0.36,0.34,0.38,NORMAL
1040,0.36,0.34,0.38,NORMAL
1045,0.36,0.34,0.38,NORMAL
1050,0.36,0.34,0.38,NORMAL
1055,0.36,0.34,0.38,NORMAL
1060,0.36,0.34,0.38,NORMAL
1065,0.36,0.34,0.38,NORMAL
1070,0.36,0.34,0.38,NORMAL
1075,0.36,0.34,0.38,NORMAL
1080,0.36,0.34,0.38,NORMAL
1085,0.36,0.34,0.38,NORMAL
1090,0.36,0.34,0.38,NORMAL
1095,0.36,0.34,0.38,NORMAL
1100,0.36,0.34,0.38,NORMAL
1105,0.36,0.34,0.38,NORMAL
1110,0.36,0.34,0.38,NORMAL
1115,0.36,0.34,0.38,NORMAL
1120,0.36,0.34,0.38,NORMAL
1125,0.36,0.34,0.38,NORMAL
1130,0.36,0.34,0.38,NORMAL
1135,0.36,0.34,0.38,NORMAL
1140,0.36,0.34,0.38,NORMAL
1145,0.36,0.34,0.38,NORMAL
1150,0.36,0.34,0.38,NORMAL
1155,0.36,0.34,0.38,NORMAL
1160,0.36,0.34,0.38,NORMAL
1165,0.36,0.34,0.38,NORMAL
1170,0.36,0.34,0.38,NORMAL
1175,0.36,0.34,0.38,NORMAL
1180,0.36,0.34,0.38,NORMAL
1185,0.36,0.34,0.38,NORMAL
1190,0.36,0.34,0.38,NORMAL
1195,0.36,0.34,0.38,NORMAL
1200,0.36,0.34,0.38,NORMAL
1205,0.36,0.34,0.38,NORMAL
1210,0.36,0.34,0.38,NORMAL
1215,0.36,0.34,0.38,NORMAL
1220,0.36,0.34,0.38,NORMAL
1225,0.36,0.34,0.38,NORMAL
1230,0.36,0.34,0.38,NORMAL
1235,0.36,0.34,0.38,NORMAL
1240,0.36,0.34,0.38,NORMAL
1245,0.36,0.34,0.38,NORMAL
1250,0.36,0.34,0.38,NORMAL
1255,0.36,0.34,0.38,NORMAL
1260,0.36,0.34,0.38,NORMAL
1265,0.36,0.34,0.38,NORMAL
1270,0.36,0.34,0.38,NORMAL
1275,0.36,0.34,0.38,NORMAL
1280,0.36,0.34,0.38,NORMAL
1285,0.36,0.34,0.38,NORMAL
1290,0.36,0.34,0.38,NORMAL
1295,0.36,0.34,0.38,NORMAL
1300,0.36,0.34,0.38,NORMAL
1305,0.36,0.34,0.38,NORMAL
1310,0.36,0.34,0.38,NORMAL
1315,0.36,0.34,0.38,NORMAL
1320,0.36,0.34,0.38,NORMAL
1325,0.36,0.34,0.38,NORMAL
1330,0.36,0.34,0.38,NORMAL
1335,0.36,0.34,0.38,NORMAL
1340,0.36,0.34,0.38,NORMAL
1345,0.36,0.34,0.38,NORMAL
1350,0.36,0.34,0.38,NORMAL
1355,0.36,0.34,0.38,NORMAL
1360,0.36,0.34,0.38,NORMAL
1365,0.36,0.34,0.38,NORMAL
1370,0.36,0.34,0.38,NORMAL
1375,0.36,0.34,0.38,NORMAL
1380,0.36,0.34,0.38,NORMAL
1385,0.36,0.34,0.38,NORMAL
1390,0.36,0.34,0.38,NORMAL
1395,0.36,0.34,0.38,NORMAL
